Support,CB,Titre,Auteur,Localisation,Cote,Statut,"Année acquisition","Année publication","Nb prêts année","Nb réservations année","Nb prêts totaux"
LI,C2100006516,"Tout sur mon MacBook Pro, Air & Retina pour les nuls","Mark L. Chambers",MED3A,"Doc./000 MAT",0,2016,2015,1,0,2
PE,C2200002126,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,4,0,6
PE,C3200003263,"Compétence Mac","dir. de publ. Mikkel Franck",MED3A,"P 31519 1°RDC 2°Prêt 3e étage ",0,2016,2009,7,0,10
PE,C3200003288,"Canard PC hardware","dir. de publ. Jérôme Darnaudet",MED3A,"P 31556 Prêt 3e étage",0,2016,2012,0,0,3
PE,C3200003301,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2016,2013,6,0,9
PE,C3200004727,Freelog,"dir. de publ. Hafida Hamdani",MED3A,"P 31413 1°RDC 2°Prêt 3e étage",0,2016,1993,4,0,5
PE,C3200003353,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,0,0,
PE,C3200003341,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2016,1998,3,0,4
PE,C3200003365,"Linux pratique. Essentiel","dir. de publ. Arnaud Metzler",MED1A,"P 31478 Prêt adultes",0,2016,1999,2,0,7
PE,C3200003504,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2016,1998,0,0,1
PE,C3200003487,"Web design","réd. en chef Stéphanie Guillaume",MED3A,"P 31542 1°RDC 2° Prêt 3e étage",0,2016,2008,6,0,8
PE,C3200003602,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2016,2013,7,0,9
PE,C3200003666,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,0,0,1
LI,C2100008221,"Le guide de Lua et ses applications","écrit sous la direction de Sylvain Fabre",MED3A,"Doc./004 LUA",0,2016,2016,1,1,2
LI,C2100008220,"Le guide de Lua et ses applications","écrit sous la direction de Sylvain Fabre",MED3A,"Doc./004 LUA",0,2016,2016,1,0,2
LI,C2100008219,"Réussir son référencement web","Olivier Andrieu",MED3A,"Doc./003 REF",0,2016,2016,7,15,10
PE,C3200003876,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2016,2013,2,0,3
PE,C3200003934,"Compétence Mac","dir. de publ. Mikkel Franck",MED3A,"P 31519 1°RDC 2°Prêt 3e étage ",0,2016,2009,8,0,8
PE,C3200004005,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,4,0,4
PE,C2200003026,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2016,1998,4,0,5
PE,C3200004775,Freelog,"dir. de publ. Hafida Hamdani",MED3A,"P 31413 1°RDC 2°Prêt 3e étage",0,2016,1993,4,0,4
PE,C3200004045,"Linux pratique. Essentiel","dir. de publ. Arnaud Metzler",MED3A,"P 31478 1°Prêt 3e étage",0,2016,1999,4,0,6
PE,C2100008372,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,2,0,2
PE,C3200004129,"Web design","réd. en chef Stéphanie Guillaume",MED3A,"P 31542 1°RDC 2° Prêt 3e étage",0,2016,2008,8,0,8
PE,C3200004226,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2016,2013,7,0,8
PE,C3200004251,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2016,1998,4,0,4
LI,C0005665235,LibreOffice,,MED3A,"Doc./005 BUR",0,2016,2013,2,1,3
PE,C3200004337,"Canard PC hardware","dir. de publ. Jérôme Darnaudet",MED3A,"P 31556 Prêt 3e étage",0,2016,2012,3,0,5
PE,C3200004383,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,3,0,3
PE,C3200004376,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2016,1998,2,0,2
