Thématique,Titre,"Numéro notice bib","1er destination","2e destination","empruntable ?",infos,Périodicité,"prix de l'abt","Nb prêts",Emprunteurs,"Prêts ex dist",Ex
BUS,"Parents ",154693,"Prêt Bus",,oui,,mensuel,24,107,46,39,22
BUS,"Paris Match",154694,"Prêt Bus",,oui,,hebdomadaire,103,596,70,150,104
BUS,"Popi ",203333,"Prêt Bus",,oui,,mensuel,60,279,97,60,24
BUS,"Psychologies magazine ",157258,"Prêt Bus",,oui,,mensuel,36,238,113,43,24
BUS,"Top santé",154777,"Prêt Bus",,oui,,mensuel,31,43,16,16,12
BUS,Toupie,157472,"Prêt Bus",,oui,,mensuel,60,184,78,63,27
Cinéma,"Avant-scène. Cinéma ",156327,Etude,"prêt 1er étage / Cinéma",oui,,mensuel,105,13,6,11,9
Cinéma,"Ecran fantastique ",182568,"RDC / espace presse","prêt 1er étage / Cinéma",oui,,mensuel,65,12,10,4,2
Cinéma,"Mad movies",157998,"RDC / espace presse","prêt 1er étage / Cinéma",oui,,bimestriel,49,94,20,21,11
Cinéma,Positif,157093,"RDC / espace presse","prêt 1er étage / Cinéma",oui,,mensuel,69,21,12,9,11
Cinéma,"Première ",156765,"RDC / espace presse","prêt 1er étage / Cinéma",oui,,mensuel,24,29,17,8,5
Cinéma,"Séries mag",268829,,,,MORT,,0,1,1,1,0
Cinéma,"So film ",260862,"RDC / espace presse","prêt 1er étage / Cinéma",oui,,mensuel,38,44,14,17,10
Cinéma,"Télérama ",154615,"RDC / espace presse","prêt 1er étage / Cinéma",oui,,hebdomadaire,99,64,13,45,51
Cinéma,"Temps des médias",158055,Etude,magasin,non,,semestriel,75,0,0,0,0
Consommation,"60 millions de consommateurs ",154809,Etude,magasin,non,,mensuel,75,150,69,24,9
Consommation,"60 millions de consommateurs ",154809,"RDC / Espace presse","prêt 1er étage",oui,,mensuel,75,150,69,24,9
Consommation,"60 millions de consommateurs : hors série",154743,Etude,magasin,non,,trimestriel,0,78,58,15,6
Consommation,"60 millions de consommateurs : hors série",154743,"1er étage / Actualités",,oui,,trimestriel,0,78,58,15,6
Consommation,"Intérêts privés",158057,"RDC / Espace presse","prêt 1er étage",oui,,mensuel,52,62,27,19,13
Consommation,"Particulier ",154841,"RDC / Espace presse","prêt 1er étage",oui,,mensuel,67,139,60,31,15
Consommation,"Que choisir ?",154708,Etude,magasin,non,,mensuel,44,111,66,22,9
Consommation,"Que choisir ?",154708,"RDC / Espace presse","prêt 1er étage",oui,,mensuel,44,111,66,22,9
Consommation,"Que choisir ? : hors-série ",155737,Etude,magasin,non,,trimestriel,60,0,0,0,0
Cuisine,"Bière magazine",265200,"1er étage / Cuisine",,oui,,trimestriel,21,46,25,12,4
Cuisine,"Cuisine actuelle ",154856,"RDC / Espace presse","prêt 1er étage / Cuisine",oui,,mensuel,22,66,45,34,25
Cuisine,"Cuisine et vins de France ",157960,"RDC / Espace presse","prêt 1er étage / Cuisine",oui,,bimestriel,17,79,52,13,7
Cuisine,"Gazelle cuisine",264236,"1er étage / Cuisine",,oui,"hs de Gazelle",bi-annuel,0,20,14,4,1
Cuisine,"Marmiton magazine",277577,"1er étage / Cuisine",,oui,,bimestriel,20,78,58,11,6
Cuisine,Saveurs,157477,"RDC / Espace presse","prêt 1er étage / Cuisine",oui,,mensuel,47,143,70,25,10
Cuisine,"Vital food",290986,"1er étage / Cuisine",,oui,nouveau,trimestriel,15,16,13,4,5
"Culture geek","Geek le magazine",296444,"1er étage / Culture geek",,oui,"nouveau ",bimestriel,29,4,3,3,4
Fantasy,Bifrost,289367,"1er étage / FAN",,oui,"nouveau ",trimestriel,45,7,4,4,4
Fantasy,Etherval,289200,"1er étage / FAN",,oui,"nouveau ",bi-annuel,14,4,3,2,2
"Fonds Didactique","Assistantes maternelles",300408,"prêt jeunesse / FD",,oui,nouveau,mensuel,44,0,0,0,0
"Fonds Didactique","Cahiers pédagogiques ",247485,"prêt jeunesse / FD",,oui,,mensuel,75,41,23,18,8
"Fonds Didactique",Furet,242612,"prêt jeunesse / FD",,oui,,semestriel,44,13,8,7,5
"Fonds Didactique",Hors-cadre(s),192481,"prêt jeunesse / FD",,oui,,bi-annuel,20,7,3,6,2
"Fonds Didactique","Journal des éducateurs de jeunes enfants (EJE)",230280,"prêt jeunesse / FD",,oui,,trimestriel,40,27,10,15,6
"Fonds Didactique","Métiers de la petite enfance",296435,"prêt jeunesse / FD",,oui,"nouveau ",mensuel,140,19,7,9,13
"Fonds Didactique","Revue des livres pour enfants",154718,"prêt jeunesse / FD",,oui,,trimestriel,65,9,5,4,6
"Fonds parentalité",Déclic,203314,"prêt jeunesse / FP",,oui,"mourra en septembre",bimestriel,48,3,3,3,5
