code-barres,"date création exemplaire","date dernier retour exemplaire","nb prêts","code collection",lib1,lib2,lib3,lib4
C0004582999,2008-04-16,2014-11,44,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0006017477,2014-05-13,2016-03,29,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003132440,2005-03-24,,52,J05,Jeunesse,Albums,"Albums Petits enfants",
C0004220301,2006-01-21,,60,J05,Jeunesse,Albums,"Albums Petits enfants",
C0003132995,2005-03-24,2015-02,35,JDTPFZZ,Jeunesse,Documentaires,"Documentaires pour petits enfants",
C0004465676,2007-05-11,,51,J05,Jeunesse,Albums,"Albums Petits enfants",
C0005034664,2009-10-27,2015-07,58,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004469832,2007-05-26,2016-01,88,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003954981,2005-09-14,2016-05,90,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005034787,2009-10-28,2015-06,56,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004458336,2007-11-22,2015-02,71,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004856819,2009-09-30,2015-06,55,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004831796,2009-03-04,2016-04,57,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004580361,2008-04-11,2015-06,46,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004858756,2009-02-17,,62,J09,Jeunesse,BD,,
C0003884178,2005-03-24,,107,J09,Jeunesse,BD,,
C0004580303,2008-04-11,,70,J09,Jeunesse,BD,,
C0005511051,2012-05-26,2015-02,16,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0005794560,2014-06-19,2016-04,11,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005230155,2011-05-24,2015-11,30,JBDMGZZ,Jeunesse,"Bandes dessinées",Mangas,
C0005494583,2012-02-02,2016-05,47,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005249544,2012-05-26,2015-04,37,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0003132717,2005-03-24,2015-02,37,JABCTEF,Jeunesse,Albums,"Contes pour enfants",
C0004834087,2009-03-05,2014-07,72,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004528173,2007-09-13,2016-01,26,JBDMGZZ,Jeunesse,"Bandes dessinées",Mangas,
C0004527842,2007-09-05,2014-07,56,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
